"date","week","river","section","crew_1","crew_2","crew_3","recorder","weather","flow","time_in","time_out","secchi","water_temperature_in","water_temperature_out","notes"
2021-02-02,1,"Stanislaus",1,"RK","GD",NA,"RK","CLD",200,"8:15","10:40",NA,9.5,9.5,"Very turbid"
2021-02-03,1,"Stanislaus",2,"RK","GD",NA,"GD","CLD",200,"8:04","12:37","11",9.5,10,"H2/H5 Partial Surveys"
2021-02-02,1,"Stanislaus",3,"RK","GD",NA,"RK","CLD/Rain",200,"11:10","11:40",NA,9.5,9.5,NA
2021-02-03,1,"Stanislaus",3,"RK","GD",NA,"GD","PCD",200,"12:37","13:57","13",10,10,NA
2021-02-04,1,"Stanislaus",3,"RK","GD",NA,"GD","CLR",200,"7:55","11:31","10+",9,9,NA
2021-02-04,1,"Stanislaus",4,"RK","GD",NA,"GD","CLR",200,"11:31","13:58","9+",9,10.5,NA
2021-02-08,2,"Stanislaus",1,"RK","GD",NA,"RK","CLR",200,"8:20","10:25",NA,9,9.5,NA
2021-02-09,2,"Stanislaus",2,"RK","GD",NA,"GD","CLD",250,"8:17","12:32","15",9.5,10.5,"H2/H5 Partial Surveys"
2021-02-08,2,"Stanislaus",3,"RK","GD",NA,"RK","CLR",200,"10:55","11:40",NA,8,8,NA
2021-02-09,2,"Stanislaus",3,"RK","GD",NA,"GD","CLD",250,"12:32","14:34","15",10.5,11,NA
2021-02-10,2,"Stanislaus",3,"RK","GD",NA,"GD","CLR",400,"7:55","11:18","10+",10,10.5,NA
2021-02-10,2,"Stanislaus",4,"RK","GD",NA,"GD","CLR",400,"11:18","13:24","11+",10.5,12,NA
2021-02-16,3,"Stanislaus",2,"RK","GD",NA,"GD","CLD",600,"8:31","11:48","14",9.5,10,"H2 partial suvey, H5 not surveyed"
2021-02-16,3,"Stanislaus",3,"RK","GD",NA,"GD","PCD",600,"11:48","13:56","15",10,10.5,NA
2021-02-17,3,"Stanislaus",3,"RK","GD",NA,"GD","CLR/Wind",600,"13:40","16:31","10+",10.5,11,NA
2021-02-18,3,"Stanislaus",4,"RK","GD",NA,"GD","PCD",600,"14:05","16:26","12+",10.5,10.5,NA
2021-02-19,3,"Stanislaus",1,"RK","GD",NA,"RK","PCD",400,"14:05","16:15",NA,10,10,NA
2021-02-22,4,"Stanislaus",1,"RK","GD",NA,"RK","CLR",400,"9:35","11:35",NA,9.5,10,NA
2021-02-23,4,"Stanislaus",2,"RK","GD",NA,"GD","CLR",400,"7:55","13:15","16",10,11,"H2/H5 Partial Surveys"
2021-02-22,4,"Stanislaus",3,"RK","GD",NA,"RK","CLR",400,"12:00","12:50",NA,11,11,NA
