"date","riffle","carcass_ID","condition","sex","forklength_cm","adclip","scales","head","otoliths","fin_clip","notes"
2021-02-09,"G9","SH-02-01","F","M",35,"N","Y","N","Y","Y",NA
2021-02-09,"J3","SH-02-02","D","F",31,"N","Y","N","Y","Y","Eggs Present"
2021-03-15,"A1","SH-07-01","F","F",26,"N","Y","N","Y","Y","Eggs Present"
2021-03-16,"F7","SH-07-02","F","F",35,"N","Y","N","Y","Y",NA
2021-03-17,"Z2","SH-07-03","F","M",27,"N","Y","N","Y","Y",NA
2020-10-10,"K1S","SH-00-01","F","M",23,"N","Y","N","Y","Y",NA
2020-11-22,"A1","SH-00-02","F","F",27,"N","Y","N","Y","Y","Eggs Present"
2020-12-01,"A1","SH-00-03","F","M",25,"N","Y","N","Y","Y",NA
2021-12-06,"C2","RBT-21-07","D","M",38,"N","Y","N","Y","Y",NA
2021-12-01,"N4","RBT-21-06","D","M",39,"N","Y","N","Y","Y",NA
2021-11-29,"A1","RBT-21-04","F","F",38,"N","Y","N","Y","Y",NA
2021-11-29,"A4","RBT-21-05","F","M",40,"N","Y","N","Y","Y",NA
2021-11-21,"A1","RBT-21-03","F","M",30,"N","Y","N","Y","Y",NA
2021-11-03,"S1","RBT-21-02","D","F",32,"N","Y","N","Y","Y",NA
2021-11-01,"C2","RBT-21-01","F","M",17.5,"N","Y","N","Y","Y",NA
2022-03-22,"J2","PL-12-01","F","F",43,"no sample","no sample","no sample","no sample","no sample",NA
